dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
30Q149,PS 149 CHRISTA MCAULIFFE                        ,2011-2012,81.1,41,9.7,8.9,1.2,84.5,4.8,51.5,48.5
30Q150,PS 150 QUEENS                                   ,2011-2012,66.1,20.4,12.5,31,1.6,48.2,18.8,52.4,47.6
30Q151,PS 151 MARY D. CARTER                           ,2011-2012,75.4,17.8,16.7,19.1,13.9,52.2,14.4,53.6,46.4
30Q152,PS 152 GWENDOLYN ALLEYNE                        ,2011-2012,74.8,31.8,5.8,52.1,0.7,43.8,3.2,51.9,48.1
30Q166,PS 166 HENRY GRADSTEIN                          ,2011-2012,79.7,25.9,13,28.3,5.6,49.5,16.1,50.3,49.7
30Q171,PS 171 PETER G VAN ALST                         ,2011-2012,88.7,19.7,15.3,23.8,16.5,52.6,6.6,54,46
30Q204,IS 204 OLIVER W HOLMES                          ,2011-2012,78.3,13.1,18.8,24.5,18.3,49.3,7.8,56.3,43.7
30Q212,PS 212                                          ,2011-2012,71.8,17.8,12.4,16.1,1.8,74.6,7.3,48.9,51.1
30Q222,F F CHRISTOPHER A SANTORA SCHL                  ,2011-2012,74.8,36.5,5.3,16.2,0,75,7.4,47.1,52.9
30Q227,I S 227 LOUIS ARMSTRONG                         ,2011-2012,51.6,5.2,13.9,14.2,15.5,41.4,28.7,49.5,50.5
30Q228,PS 228 ECC                                      ,2011-2012,79,38,15.3,9,1.3,85.8,2.6,48,52
30Q230,INTERMEDIATE SCHOOL 230                         ,2011-2012,74,12.8,11.5,42,1.8,47.2,8.7,48.7,51.3
30Q234,P.S. 234                                        ,2011-2012,76.7,21.7,8.5,20.7,4.5,45.5,26,46.8,53.2
30Q235,ACADEMY FOR NEW AMERICANS                       ,2011-2012,88.6,91.4,0,35.5,1.3,52.6,10.5,51.3,48.7
30Q280,P.S. 280                                        ,2011-2012,88.8,66.7,18.1,6.5,0.9,89.8,2.3,53.7,46.3
30Q286,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA         ,2011-2012,68.1,5.5,5.3,39.2,4.2,40.4,16.2,0,100
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM      ,2011-2012,54.1,2.9,14.6,6,20.5,53.5,18.9,53.2,46.8
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL               ,2011-2012,33.7,17.9,12.1,28.9,7.3,48.8,14.5,53.7,46.3
30Q450,LONG ISLAND CITY HIGH SCHOOL                    ,2011-2012,62.8,13.2,13.8,13.2,11.4,62.7,12.5,51.3,48.7
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL    ,2011-2012,29.7,0.1,1.9,8.7,16.9,27.2,46.3,30,70
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL              ,2011-2012,73.7,9.6,16,15.6,18.1,56.6,9.4,71.8,28.2
30Q555,NEWCOMERS HIGH SCHOOL                           ,2011-2012,81.2,90.3,0,48.3,5.6,43.5,2.6,53.2,46.8
